,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000001,1800,842,73,0,10,264.8742745,0.0585795,0.88,1.05
1000002,941,201,8,0,1,163.9281728,0.03725954,1.08,0.89
1000003,1214,3686,41,0,4,255.1289975,0.05263907,1.03,1.11
1000004,1442,56,12,0,5,90.97194527,0.02055997,0.77,1.05
1000005,1671,1797,8,0,3,446.3097831,0.09138343,0.79,0.94
1000006,650,671,24,0,4,22.50987675,0.00457511,0.97,1.26
1000007,424,503,27,0,4,1117.317075,0.29201317,0.81,1
1000008,670,234,20,0,6,428.8157459,0.10540027,0.82,0.87
1000009,747,2703,31,0,7,540.2744336,0.10694611,0.85,1.07
1000010,946,148,14,0,0,85.90604312,0.02330149,0.98,0.89
1000011,899,329,17,0,1,219.1023863,0.04081079,1.12,0.94
1000012,2571,58,12,0,3,308.6167703,0.07801538,0.69,1.03
1000013,230,313,18,0,1,117.5263545,0.0246359,1.07,1.04
1000014,463,235,4,0,1,85.09825725,0.0177291,1.21,1.15
1000015,1607,497,13,0,1,218.1550096,0.05237593,1.01,1.16
1000016,677,214,28,0,5,355.6063715,0.08668489,0.8,1.18
1000017,47,1011,14,1,2,72.91111125,0.01235778,1.51,1.36
1000018,456,137,18,0,1,38.90581233,0.0085492,0.92,1.03
1000019,3479,275,24,0,5,198.4880285,0.05198354,1.21,0.98
1000021,932,787,17,0,4,70.28668938,0.01355131,1.03,1.18
1000023,1269,15,4,0,0,2.99514025,0.0005341,1.22,1.4
1000026,1678,6654,25,0,8,123.7717809,0.01906397,0.92,1.22
1000027,690,202,19,0,0,188.8141028,0.04705294,0.67,0.93
1000028,3407,255,25,0,2,201.2620463,0.04251782,1.12,1.2
1000030,3422,320,7,0,0,66.51805625,0.01437398,1.06,1.12
1000031,2066,91,10,0,0,15.7610135,0.00293233,0.97,0.98
1000032,1406,674,18,0,1,245.3917663,0.05162121,1.03,1.09
1000033,834,39,12,0,1,38.17973467,0.00966054,1.07,0.98
1000034,2016,1553,10,0,0,120.6357728,0.03037711,0.86,1.01
1000036,1892,1161,6,0,0,18.2617025,0.00496099,1.26,0.87
1000038,664,386,11,0,1,93.23255392,0.01704731,1.07,1.06
1000039,522,7830,34,0,4,288.1451969,0.058167,1.44,1.16
1000040,116,1571,22,0,0,478.0995449,0.06629253,1.48,1.06
1000041,1473,3778,7,0,0,42.83265186,0.00787601,0.98,1.19
1000042,1761,485,14,0,1,112.5003704,0.02447213,1.09,1.19
1000043,1953,108,1,0,0,0.17786425,4.63E-05,1.05,1.1
1000044,914,180,12,0,0,91.36077933,0.02297905,1.29,1.32
1000045,723,967,32,0,2,526.5425543,0.1298556,0.86,1.06
1000046,593,1098,25,0,3,24.30813467,0.00577335,1.36,1.13
1000047,1124,569,18,0,1,111.4233523,0.02287486,1.25,1.17
1000048,1479,438,22,0,1,52.30231933,0.01257653,1.11,1.23
1000049,3378,463,16,0,2,59.0400595,0.01591019,0.98,1.01
1000050,387,107,1,0,0,24.71221525,0.00402771,1.22,1.02
1000051,906,494,13,0,4,308.552504,0.05920545,0.99,1.12
1000052,517,56,1,0,0,482.1332825,0.12508159,1.27,1.03
1000053,774,46,8,0,0,358.4478483,0.09392764,0.9,0.98
