,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000001,1827.0,831.0,73.0,0.0,10.0,278.1139655,0.06373244,0.87,1.1
1000003,1084.0,1073.0,41.0,0.0,4.0,300.4106436,0.05202319,1.04,1.05
1000004,1471.0,20.0,12.0,0.0,5.0,164.5890019,0.04035587,0.84,1.09
1000005,1768.0,128.0,8.0,0.0,3.0,523.7566973,0.09782536,0.78,1.0
1000006,711.0,19.0,24.0,0.0,4.0,611.0177116,0.11930225,0.95,1.16
1000007,474.0,61.0,27.0,0.0,4.0,1000.895145,0.23241956,0.83,1.08
1000008,727.0,1643.0,20.0,0.0,6.0,912.65683,0.20669049,0.67,0.92
1000009,743.0,471.0,31.0,0.0,7.0,630.6143021,0.12287113,0.9,1.1
1000010,948.0,146.0,14.0,0.0,0.0,109.5436718,0.03022661,1.02,0.92
1000011,920.0,23.0,17.0,0.0,1.0,274.1849974,0.04553735,1.23,0.95
1000012,2470.0,497.0,12.0,0.0,3.0,163.4716725,0.03753231,0.58,1.13
1000013,299.0,2236.0,18.0,0.0,1.0,479.9127138,0.09281299,1.13,1.0
1000014,486.0,104.0,4.0,0.0,1.0,80.27995275,0.01452872,1.54,1.11
1000015,1714.0,1886.0,13.0,0.0,1.0,486.1840843,0.11281146,1.02,1.09
1000016,693.0,578.0,28.0,0.0,5.0,789.5516721,0.18317817,0.94,1.16
1000019,3892.0,575.0,24.0,0.0,5.0,99.198946,0.02699027,1.29,0.93
1000020,2468.0,184.0,17.0,0.0,2.0,41.48595214,0.01016422,1.21,1.18
1000021,942.0,1277.0,17.0,0.0,4.0,98.88152138,0.01885028,0.94,1.25
1000022,863.0,58.0,5.0,0.0,0.0,0.78042733,9.394e-05,1.37,1.09
1000023,1421.0,8.0,4.0,0.0,0.0,11.29392,0.00099064,1.2,1.49
1000024,2432.0,287.0,7.0,0.0,0.0,15.6789925,0.00417181,1.4,1.37
1000026,1899.0,179.0,25.0,0.0,8.0,174.4363563,0.02533153,0.92,1.3
1000027,703.0,4.0,19.0,0.0,0.0,357.4473082,0.06964745,0.79,1.04
1000028,3325.0,1745.0,25.0,0.0,2.0,231.6898349,0.04668782,1.22,1.21
1000029,835.0,253.0,4.0,0.0,0.0,6.10986575,0.00159172,1.22,1.35
1000030,3858.0,376.0,7.0,0.0,0.0,61.467986,0.01230387,1.12,1.16
1000031,2328.0,74.0,10.0,0.0,0.0,77.55580075,0.01640508,1.04,0.93
1000032,1524.0,1556.0,18.0,0.0,1.0,279.9240126,0.05820486,1.08,1.04
1000033,892.0,1312.0,12.0,0.0,1.0,36.86727773,0.0095003,1.22,0.99
1000034,2115.0,1533.0,10.0,0.0,0.0,112.622539,0.02552384,0.92,1.02
1000036,2007.0,4140.0,6.0,0.0,0.0,72.6523225,0.01678823,1.04,0.83
1000039,308.0,35854.0,34.0,0.0,4.0,738.4330429,0.14112546,1.63,1.18
1000040,100.0,1005.0,22.0,0.0,0.0,421.2975443,0.06690527,1.59,1.07
1000041,1559.0,3378.0,7.0,0.0,0.0,37.76213843,0.00865228,1.04,1.13
1000042,1821.0,1696.0,14.0,0.0,1.0,213.3905152,0.05173274,1.15,1.21
1000043,2137.0,231.0,1.0,0.0,0.0,7.1011395,0.00197755,1.09,1.0
