,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000001,1806.0,348.0,73.0,0.0,10.0,249.8816884,0.05370352,0.83,1.07
1000002,841.0,486.0,8.0,0.0,1.0,197.0167865,0.04489844,1.08,0.9
1000003,1214.0,4822.0,41.0,0.0,4.0,297.2000511,0.05550663,1.05,1.07
1000004,1453.0,104.0,12.0,0.0,5.0,108.2123994,0.02595783,0.83,1.07
1000005,1694.0,1080.0,8.0,0.0,3.0,526.4480254,0.11774571,0.76,0.96
1000006,663.0,493.0,24.0,0.0,4.0,32.35935075,0.00535005,0.85,1.28
1000007,451.0,443.0,27.0,0.0,4.0,1145.330979,0.29530579,0.8,1.0
1000008,682.0,417.0,20.0,0.0,6.0,515.4652517,0.12171856,0.7,0.88
1000009,759.0,396.0,31.0,0.0,7.0,421.9060768,0.08229956,0.85,1.07
1000010,947.0,220.0,14.0,0.0,0.0,102.7104379,0.02706044,0.98,0.89
1000011,1770.0,380.0,17.0,0.0,1.0,252.9079447,0.04661974,1.14,0.92
1000012,2586.0,101.0,12.0,0.0,3.0,144.1215825,0.03448159,0.61,1.06
1000013,249.0,615.0,18.0,0.0,1.0,245.381681,0.05069043,1.01,0.99
1000014,469.0,567.0,4.0,0.0,1.0,94.8660685,0.02245507,1.36,1.17
1000015,1644.0,1158.0,13.0,0.0,1.0,318.0370018,0.07896332,1.01,1.11
1000016,699.0,457.0,28.0,0.0,5.0,433.6725926,0.09781774,0.83,1.12
1000017,45.0,1898.0,14.0,1.0,2.0,109.3608165,0.01716012,1.63,1.34
1000018,461.0,331.0,18.0,0.0,1.0,45.61259717,0.01044284,0.93,1.03
1000019,3627.0,227.0,24.0,0.0,5.0,166.6005322,0.04476046,1.26,0.95
1000020,2307.0,254.0,17.0,0.0,2.0,56.590541,0.01493054,1.22,1.11
1000021,924.0,485.0,17.0,0.0,4.0,80.01592475,0.01430761,1.07,1.17
1000022,802.0,120.0,5.0,0.0,0.0,0.97597833,0.0,1.23,1.12
1000023,1293.0,50.0,4.0,0.0,0.0,4.68856325,0.00058926,1.25,1.39
1000026,1787.0,510.0,25.0,0.0,8.0,108.7705211,0.01650631,0.89,1.22
1000027,722.0,609.0,19.0,0.0,0.0,252.9647825,0.04954691,0.74,0.95
1000028,3351.0,723.0,25.0,0.0,2.0,189.6122674,0.04064406,1.16,1.21
1000029,1076.0,301.0,4.0,0.0,0.0,1.695695,0.00045045,1.2,1.47
1000030,3551.0,488.0,7.0,0.0,0.0,61.14286138,0.01327209,1.03,1.12
1000031,2022.0,396.0,10.0,0.0,0.0,43.5622535,0.01070653,0.94,0.93
1000032,1436.0,776.0,18.0,0.0,1.0,256.3765724,0.05204238,1.0,1.08
1000033,875.0,234.0,12.0,0.0,1.0,40.60928478,0.00980451,1.16,0.97
1000034,2072.0,2116.0,10.0,0.0,0.0,115.6034278,0.02819931,0.89,1.01
1000036,1877.0,1963.0,6.0,0.0,0.0,0.0,0.0,1.31,0.85
1000038,697.0,487.0,11.0,0.0,1.0,129.1713881,0.02827984,1.1,1.06
1000039,531.0,18565.0,34.0,0.0,4.0,636.1655163,0.13129494,1.43,1.16
1000040,107.0,3801.0,22.0,0.0,0.0,403.193951,0.05552858,1.49,1.08
1000041,1480.0,890.0,7.0,0.0,0.0,47.2436485,0.00962022,1.05,1.15
1000042,1792.0,669.0,14.0,0.0,1.0,160.420013,0.0387206,1.07,1.19
1000043,2037.0,102.0,1.0,0.0,0.0,3.0788265,0.00073758,1.08,1.09
1000044,935.0,449.0,12.0,0.0,0.0,164.7113424,0.04005665,1.2,1.27
1000045,706.0,1208.0,32.0,0.0,2.0,809.3082293,0.18622855,0.87,1.07
1000046,618.0,1982.0,25.0,0.0,3.0,59.18208411,0.01445309,1.36,1.14
1000047,1130.0,1332.0,18.0,0.0,1.0,70.27963592,0.0143971,1.32,1.13
1000048,1491.0,856.0,22.0,0.0,1.0,31.70145938,0.00896898,1.01,1.26
1000049,3440.0,860.0,16.0,0.0,2.0,58.265426,0.01529444,1.04,1.03
1000050,418.0,460.0,1.0,0.0,0.0,16.169596,0.00372745,1.17,0.92
1000051,955.0,379.0,13.0,0.0,4.0,302.6439581,0.06675996,0.96,1.16
1000052,534.0,147.0,1.0,0.0,0.0,586.4262602,0.15326898,1.25,1.05
1000053,771.0,402.0,8.0,0.0,0.0,615.4823866,0.16718745,0.85,1.01
1000054,850.0,355.0,16.0,0.0,2.0,349.8604657,0.0982322,0.81,0.82
1000055,1423.0,620.0,12.0,0.0,1.0,96.559653,0.01567261,0.96,0.94
1000056,3185.0,1204.0,19.0,0.0,4.0,57.6389275,0.0092516,1.07,1.12
1000057,4401.0,869.0,12.0,0.0,2.0,198.681988,0.05412596,1.06,1.14
1000058,4152.0,2534.0,7.0,0.0,2.0,98.82737192,0.01896583,0.7,0.88
1000060,2227.0,95.0,6.0,0.0,2.0,73.58319967,0.01659807,0.75,0.93
1000061,2708.0,235.0,14.0,0.0,3.0,245.3382197,0.04227579,0.98,1.04
1000062,2666.0,90.0,12.0,0.0,3.0,87.6509345,0.02541474,0.87,1.02
1000063,1235.0,1702.0,16.0,0.0,5.0,569.3544564,0.14624802,0.9,0.98
1000064,2302.0,76.0,11.0,0.0,2.0,110.3367448,0.03178188,0.95,1.1
1000065,1866.0,767.0,12.0,0.0,4.0,145.0186462,0.03055594,1.16,1.23
1000066,1491.0,254.0,2.0,0.0,0.0,102.3527483,0.02351444,1.23,1.02
1000067,2331.0,570.0,13.0,0.0,2.0,63.83753227,0.0116147,1.25,1.05
1000068,1019.0,1336.0,13.0,0.0,2.0,379.4387533,0.08908767,1.08,1.2
1000069,1812.0,231.0,9.0,0.0,1.0,60.7625985,0.01161691,1.36,1.48
1000070,636.0,960.0,25.0,0.0,2.0,2176.49514,0.63241036,1.01,1.15
1000071,2351.0,1630.0,19.0,1.0,2.0,1839.364579,0.47840087,0.59,0.91
1000072,2928.0,207.0,9.0,0.0,0.0,7.9541695,0.00107289,0.96,0.97
1000073,1678.0,642.0,31.0,0.0,4.0,1366.846947,0.35892582,0.93,0.91
1000074,3109.0,226.0,5.0,0.0,0.0,0.4251135,8.749e-05,1.11,1.04
1000075,4221.0,1249.0,13.0,0.0,2.0,41.386111,0.00784767,1.31,1.06
1000076,2495.0,285.0,5.0,0.0,1.0,19.583434,0.00376926,1.09,1.23
1000077,2701.0,10510.0,25.0,0.0,3.0,207.9615636,0.04168325,0.99,1.14
1000078,474.0,913.0,14.0,0.0,1.0,76.449057,0.01245038,1.21,1.29
1000079,1590.0,2117.0,13.0,0.0,2.0,219.8636187,0.04468862,0.97,0.96
1000080,666.0,3331.0,7.0,0.0,0.0,218.7000777,0.04517168,0.95,1.08
1000081,901.0,1132.0,21.0,1.0,2.0,130.4336716,0.02945812,1.18,1.17
1000082,751.0,1792.0,11.0,0.0,2.0,143.4518639,0.01833469,0.98,1.26
1000083,109.0,333.0,10.0,0.0,1.0,131.5495564,0.03748106,1.39,1.32
1000084,566.0,1036.0,19.0,0.0,1.0,734.0569788,0.16404932,0.72,0.85
1000085,2228.0,237.0,16.0,0.0,3.0,407.9126411,0.10787299,0.75,0.88
1000086,3151.0,236.0,15.0,0.0,5.0,69.93247775,0.0174771,1.01,1.0
1000087,5621.0,1018.0,11.0,0.0,1.0,29.75928717,0.0077826,0.97,1.23
1000088,4112.0,721.0,21.0,0.0,4.0,357.617107,0.07627357,0.95,0.98
1000089,2321.0,26.0,3.0,0.0,0.0,6.9191495,0.00111865,0.88,1.07
1000090,3321.0,304.0,15.0,0.0,6.0,90.334159,0.01797717,1.14,1.31
1000091,2877.0,534.0,17.0,0.0,4.0,97.39713312,0.0232114,1.21,1.07
1000092,1831.0,3928.0,7.0,0.0,1.0,198.1869493,0.05578499,0.81,1.08
1000093,1827.0,408.0,8.0,0.0,3.0,104.5077535,0.01532904,1.11,1.08
1000094,1329.0,718.0,8.0,0.0,1.0,14.402433,0.00330938,0.93,1.12
1000096,1219.0,107.0,10.0,1.0,0.0,146.9879198,0.04011873,0.84,0.91
1000097,5859.0,177.0,14.0,1.0,7.0,76.41657425,0.01783681,0.85,1.15
1000098,2199.0,209.0,18.0,0.0,1.0,121.1955753,0.0249597,0.93,1.12
1000099,1814.0,725.0,10.0,0.0,1.0,92.42191325,0.01727368,1.01,1.11
1000100,1004.0,399.0,19.0,0.0,1.0,18.2403755,0.00367079,0.98,0.94
1000101,2274.0,147.0,4.0,0.0,0.0,38.48076675,0.01029777,0.9,1.17
1000102,2405.0,112.0,13.0,0.0,6.0,118.269745,0.02764609,0.98,1.28
1000103,2392.0,888.0,2.0,0.0,0.0,79.32913912,0.01997377,0.92,1.05
1000104,1128.0,3915.0,17.0,0.0,1.0,219.334475,0.04952374,0.92,0.94
1000105,1793.0,748.0,7.0,0.0,0.0,144.9798362,0.03561656,0.54,0.92
1000106,3526.0,637.0,25.0,0.0,11.0,82.521076,0.02017847,1.02,0.96
1000107,3209.0,349.0,13.0,0.0,2.0,10.3475882,0.00281885,1.16,1.0
1000108,259.0,4407.0,3.0,0.0,1.0,125.0957139,0.03144718,0.86,0.9
1000109,1289.0,2336.0,5.0,0.0,0.0,148.8165134,0.03772942,0.75,0.97
