,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000137,3644.0,221.0,14.5,0.0,1.0,129.1088546,0.0360155,0.78,0.88
1000138,2330.0,133.0,6.75,0.0,1.0,134.2730014,0.03577253,0.83,0.85
1000139,5070.0,1018.0,5.5,0.0,0.0,36.76692338,0.00752742,0.87,1.01
1000141,2931.0,947.0,3.0,0.0,1.5,50.137756,0.01079112,0.73,0.84
1000142,1714.0,79.0,16.0,0.0,1.0,33.57980362,0.00547308,0.81,0.88
1000143,2913.0,42.0,0.0,0.0,0.0,26.73888775,0.00723646,0.76,0.9
1000144,1821.0,209.0,3.75,0.0,0.0,0.0,0.0,0.83,0.96
1000146,3557.0,228.0,13.25,0.0,4.25,161.90757,0.04057265,0.96,0.92
1000147,3485.0,948.0,4.75,0.0,0.0,31.3971495,0.00762368,0.93,0.86
1000148,3424.0,278.0,10.75,0.0,1.75,102.217806,0.01857414,0.98,0.9
1000149,2784.0,239.0,11.25,0.0,2.25,38.3676606,0.00992937,1.15,1.07
1000150,4136.0,230.0,16.75,0.0,5.75,10.32716325,0.000395,1.08,0.97
1000151,2862.0,357.0,5.0,0.0,0.25,32.842483,0.00947541,1.1,1.08
1000152,1768.0,432.0,0.0,0.0,0.0,67.1581915,0.01440514,1.03,0.97
1000153,2898.0,243.0,5.25,0.0,0.0,69.78167709,0.01940683,0.95,0.9
1000154,2834.0,357.0,7.25,0.0,1.0,418.5376776,0.09210984,0.89,0.93
1000155,1481.0,575.0,8.75,0.0,3.5,981.6976561,0.17658771,0.99,1.04
1000156,5267.0,396.0,18.75,0.0,7.75,238.61332,0.05401714,0.89,0.91
1000157,3885.0,541.0,4.5,0.0,0.75,19.9259685,0.00570224,0.91,0.97
1000158,3738.0,646.0,14.5,0.0,0.0,106.0304463,0.02155312,1.07,0.9
1000159,1861.0,106.0,15.75,0.0,0.0,0.654148,0.0001416,0.94,0.97
1000160,2990.0,141.0,7.5,0.0,2.75,19.55771486,0.00483143,0.86,0.84
1000161,2484.0,448.0,20.25,0.0,3.5,342.8009596,0.08999438,0.88,0.99
1000162,4406.0,218.0,11.5,0.0,1.75,177.8312938,0.03805114,0.76,1.0
1000163,2651.0,170.0,7.0,0.0,3.0,21.27798675,0.0029555,1.08,1.02
1000164,3655.0,587.0,7.5,0.0,1.75,29.14068875,0.00582122,0.93,1.23
1000165,3575.0,915.0,29.25,1.75,3.0,201.2206032,0.04966689,0.86,0.85
1000166,3067.0,625.0,24.25,0.0,4.25,116.2273839,0.02314122,1.1,1.01
1000167,3313.0,344.0,21.75,0.25,3.5,243.0636015,0.05325763,0.81,1.0
1000168,631.0,28.0,6.25,0.0,0.0,212.1938502,0.04610268,0.72,0.83
1000169,1221.0,41.0,8.75,0.0,0.0,184.1083175,0.03812465,0.81,0.87
1000170,215.0,4980.0,1.5,0.0,0.0,39.648945,0.00047482,1.15,0.97
1000171,2527.0,47.0,3.75,0.0,1.0,311.598297,0.05918594,0.92,1.01
1000172,3472.0,78.0,10.5,0.0,2.0,14.21661725,0.00303051,0.95,1.04
1000175,2695.0,103.0,5.75,0.0,1.0,55.314122,0.01030348,1.0,0.96
1000176,3836.0,287.0,2.5,0.0,0.0,89.0492355,0.01903983,0.88,0.79
1000177,1976.0,533.0,10.0,0.0,1.0,244.9613139,0.05184326,0.92,0.94
1000178,1313.0,54.0,5.5,0.0,2.0,6.37204075,0.00137338,0.96,0.89
1000179,2650.0,114.0,1.75,0.0,0.0,38.5892155,0.00994184,0.74,0.89
1000180,1582.0,52.0,8.0,0.0,0.0,537.4214505,0.14210625,0.97,0.93
1000181,577.0,96.0,8.5,0.0,1.75,245.3594935,0.05971988,1.14,1.04
1000182,1358.0,574.0,3.5,0.0,0.25,65.76651333,0.01589856,1.08,1.04
1000184,1933.0,180.0,13.0,0.0,2.0,138.1790946,0.02553116,1.2,1.08
1000185,1982.0,84.0,9.75,0.0,0.0,250.9892424,0.0573316,0.94,1.02
1000188,4357.0,368.0,7.25,0.0,2.0,194.4061473,0.05253338,0.86,1.06
1000189,2461.0,404.0,14.75,0.0,1.0,196.3286895,0.04870591,0.9,0.95
1000190,1514.0,109.0,14.25,0.0,3.25,24.49907814,0.0043089,1.26,1.15
1000193,3589.0,560.0,17.0,0.0,3.75,46.4621171,0.00651144,1.02,0.93
1000194,2483.0,48.0,4.25,0.0,0.75,93.6215025,0.02233796,1.29,0.99
1000195,1387.0,179.0,2.0,0.0,0.0,21.24279738,0.00482197,0.99,0.99
1000196,740.0,408.0,11.0,0.0,1.75,86.05509075,0.02143224,1.18,0.96
1000197,1542.0,122.0,7.5,0.0,1.75,31.54099125,0.00390105,0.93,0.82
1000198,2624.0,2436.0,8.25,0.0,1.0,73.90063108,0.01801701,0.78,0.95
1000199,1097.0,148.0,3.5,0.0,1.0,188.2442736,0.0352089,1.08,0.95
1000200,996.0,167.0,6.5,0.0,2.0,104.6378831,0.02120507,1.07,0.93
1000201,2082.0,314.0,7.75,0.0,0.0,101.6582244,0.02218655,1.03,0.91
1000202,2417.0,438.0,3.75,0.0,1.0,10.76706375,0.0019876,1.0,0.95
1000203,1916.0,461.0,5.25,0.0,1.25,1.885208,0.00035019,1.08,1.04
1000204,1653.0,170.0,7.75,0.0,2.0,135.074281,0.0319079,0.85,1.0
1000205,2278.0,274.0,11.25,0.0,1.0,12.6586965,0.00253686,1.34,1.32
1000206,3059.0,101.0,4.0,0.0,0.0,4.6943275,0.00126741,1.19,1.23
1000207,1014.0,45.0,4.5,0.0,2.0,225.224064,0.05112738,0.99,0.98
1000208,1481.0,74.0,4.75,0.0,1.0,125.8912524,0.0292915,0.97,1.11
1000210,2881.0,2512.0,14.5,0.0,1.5,178.2505359,0.04524963,1.02,1.02
1000214,2893.0,696.0,18.5,0.0,5.25,44.114101,0.00921702,1.08,0.93
1000215,919.0,203.0,7.25,0.0,2.0,158.4046835,0.03201167,0.97,1.03
1000216,1851.0,90.0,9.25,0.0,2.0,18.58170275,0.00247045,1.21,0.97
1000217,2478.0,257.0,4.5,0.0,0.0,165.8873086,0.03482974,0.94,0.9
1000218,1719.0,113.0,3.75,0.0,0.0,6.6779205,0.00169851,1.29,1.13
1000219,2461.0,89.0,2.75,0.0,1.0,8.93013025,0.00236516,1.09,1.31
1000220,1281.0,138.0,13.0,0.0,2.0,430.4242124,0.10924526,1.11,1.0
1000221,405.0,127.0,19.0,1.0,1.0,174.4581076,0.04357206,1.18,1.15
1000222,2269.0,126.0,23.5,0.75,4.0,31.14407514,0.00729325,1.11,1.03
1000223,4164.0,134.0,14.0,0.0,3.0,8.433004,0.00239138,0.77,0.88
1000224,5240.0,131.0,9.0,0.0,1.75,10.90273975,0.00295047,0.94,0.94
1000226,4088.0,148.0,19.5,0.25,1.0,247.9242758,0.04879133,0.92,1.07
1000228,4956.0,328.0,10.0,0.0,2.0,3.1185415,0.0001281,0.94,1.06
1000229,2956.0,202.0,15.75,0.0,1.75,125.4495242,0.02383987,1.06,0.88
1000230,4373.0,193.0,16.0,0.0,2.5,181.6917155,0.04141346,0.91,0.99
1000231,2681.0,145.0,20.5,0.0,3.75,270.2902898,0.05467043,1.18,0.98
1000232,3656.0,130.0,11.5,0.0,6.25,7.055339,0.00184009,0.88,0.91
1000233,1982.0,187.0,16.5,0.0,3.0,101.5058935,0.0211474,0.99,0.9
1000235,2426.0,432.0,7.75,0.0,1.0,100.447498,0.02291058,1.03,1.14
1000236,2864.0,870.0,4.5,0.0,1.0,10.0995295,0.00231281,0.92,0.97
1000237,2620.0,443.0,36.5,0.75,6.0,32.67739008,0.00669682,0.99,0.97
1000238,3562.0,112.0,9.75,0.0,2.0,13.56371575,0.00330987,0.81,0.93
1000239,2338.0,107.0,13.75,0.0,1.0,94.657431,0.02266513,0.93,0.92
1000242,2620.0,86.0,6.5,0.0,0.0,105.0108663,0.02827469,1.03,0.9
1000243,1351.0,454.0,11.5,0.0,2.0,201.8789739,0.0476859,0.92,0.9
1000244,3129.0,873.0,10.75,0.0,1.0,16.7835935,0.00427497,1.05,0.84
1000245,2864.0,109.0,13.25,0.0,1.0,83.807866,0.01472037,0.87,0.99
1000247,2810.0,91.0,12.25,0.0,1.0,72.24592042,0.01488778,0.97,0.87
1000249,2473.0,150.0,8.25,0.0,2.0,277.8383563,0.06220219,0.85,1.0
1000252,3838.0,649.0,31.25,0.0,5.75,297.9561808,0.06190069,0.89,0.9
1000253,3085.0,183.0,5.5,0.0,1.75,23.78283338,0.00553232,0.92,0.84
1000254,3123.0,122.0,27.25,0.0,2.0,595.4600065,0.13190674,1.17,1.02
1000255,2559.0,276.0,5.5,0.0,0.0,22.22879775,0.00407527,0.83,0.95
1000256,2956.0,122.0,4.5,0.0,1.0,284.4825251,0.05677296,0.92,0.9
1000257,2469.0,114.0,11.5,0.0,2.25,116.8091173,0.02520531,1.04,0.97
1000258,1872.0,108.0,24.0,0.0,5.0,184.605081,0.03667631,1.07,0.98
1000259,3317.0,304.0,10.0,0.0,6.5,105.355584,0.02740185,0.91,0.84
1000260,2546.0,207.0,14.5,0.0,1.0,39.4337945,0.00772387,0.9,0.8
1000263,1212.0,61.0,6.25,0.0,1.0,45.46319575,0.01160643,1.08,1.17
1000264,2470.0,103.0,7.5,0.0,0.0,50.650074,0.00925164,1.14,0.99
1000268,2855.0,572.0,7.75,0.0,0.0,81.293101,0.01843032,0.98,1.04
1000269,1077.0,209.0,11.5,0.0,2.0,784.1201638,0.20169513,0.84,1.04
1000270,2190.0,219.0,13.25,0.0,0.0,14.988213,0.00396191,0.89,0.91
1000271,388.0,53.0,13.25,0.0,2.25,11.9763345,0.00205691,1.1,1.14
1000272,261.0,62.0,10.25,0.0,1.25,137.7316083,0.03592729,1.15,1.28
1000273,2867.0,181.0,20.0,0.0,6.0,46.29512488,0.01067924,0.9,1.1
1000274,2458.0,1048.0,5.25,0.0,1.0,10.41025425,0.00221839,1.09,0.98
1000275,225.0,134.0,1.0,0.0,1.0,2.826038,0.00078514,1.18,0.94
1000276,2892.0,253.0,9.25,0.0,3.0,12.835869,0.00332224,1.17,1.0
1000277,1288.0,267.0,4.0,0.0,1.0,219.6775366,0.05870514,0.8,0.81
1000278,2312.0,186.0,9.25,0.0,3.0,71.900211,0.01437156,0.92,1.0
1000279,2014.0,38.0,0.0,0.0,0.0,8.55794767,0.00223822,0.78,0.93
1000281,653.0,147.0,12.25,0.0,1.0,54.51963312,0.01308076,0.76,0.95
1000282,1720.0,143.0,7.75,0.0,3.0,246.7110564,0.03880846,0.89,1.0
1000284,2981.0,595.0,22.25,0.0,3.5,80.64332475,0.01857623,0.87,0.98
1000285,1158.0,960.0,4.75,0.0,1.0,168.0134898,0.04530522,1.03,1.12
1000286,1672.0,101.0,11.75,0.0,4.0,279.9881423,0.07176055,1.15,1.02
1000287,3327.0,310.0,1.5,0.0,0.0,14.25759762,0.00278622,1.21,1.11
1000288,2909.0,841.0,25.75,0.0,6.0,155.3192845,0.03407657,0.94,0.98
1000289,277.0,90.0,7.0,0.0,2.75,71.0828305,0.01409285,1.0,1.21
1000290,180.0,127.0,11.75,0.0,3.0,98.83353283,0.01990628,0.82,0.82
1000291,608.0,150.0,4.5,0.0,0.0,373.816728,0.08863753,0.84,0.96
1000292,321.0,1580.0,11.75,0.0,2.75,324.7352561,0.07793674,0.88,1.07
1000293,908.0,63.0,4.75,0.0,4.5,208.9749745,0.0503724,0.87,0.96
1000295,1981.0,74.0,11.25,0.0,3.75,69.04857442,0.01511339,0.94,0.91
1000297,1852.0,214.0,11.25,0.0,4.0,68.82704988,0.01334217,1.19,1.13
1000298,3490.0,75.0,4.5,0.0,1.75,71.50018188,0.01054186,0.95,1.27
1000299,1830.0,1407.0,10.25,0.0,2.5,63.10877492,0.01195751,1.0,1.21
1000300,3402.0,140.0,12.75,0.0,1.25,339.4035288,0.06072946,1.02,1.22
1000301,1890.0,18269.0,25.25,0.0,10.75,26.22896412,0.00522131,0.94,0.97
1000302,1661.0,550.0,11.0,0.0,2.0,38.67938112,0.00787378,0.96,1.09
1000304,2344.0,404.0,7.25,0.0,4.0,196.3904204,0.04953839,1.09,1.28
1000305,2612.0,3780.0,13.75,0.75,0.0,113.8994763,0.02524829,1.04,1.1
1000306,1293.0,917.0,13.25,0.0,2.0,213.8942135,0.04153765,0.69,0.87
1000308,2089.0,132.0,9.75,0.0,4.25,99.74038188,0.02311869,1.09,0.84
1000309,1353.0,267.0,16.75,0.0,4.75,136.232164,0.03284127,0.97,1.03
1000310,1303.0,99.0,7.25,1.0,3.0,171.5853625,0.0423156,0.93,0.93
1000311,2222.0,43.0,4.25,0.25,1.0,8.0212095,0.00101084,1.04,1.21
1000312,3066.0,1112.0,10.0,0.0,2.0,10.409802,0.0026454,1.12,0.97
