,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000001,1919.0,809.0,14.0,0.0,4.0,299.0285333,0.07119084,0.92,1.11
1000003,1150.0,1079.0,23.0,0.0,3.0,264.9836564,0.04346502,1.07,1.04
1000004,1497.0,20.0,10.0,0.0,5.0,168.833421,0.03903469,0.84,1.1
1000005,1772.0,119.0,6.0,0.0,3.0,419.1801389,0.08828448,0.83,0.96
1000006,682.0,18.0,8.0,0.0,2.0,627.8197585,0.13510002,0.91,1.21
1000007,466.0,56.0,11.0,0.0,1.0,1105.832507,0.26827766,0.8,1.09
1000008,709.0,1625.0,6.0,0.0,4.0,762.1384643,0.19113097,0.63,0.96
1000009,778.0,413.0,9.0,0.0,5.0,641.0520376,0.13189586,0.9,1.1
1000010,1010.0,138.0,3.0,0.0,0.0,92.09033907,0.02633459,1.03,0.9
1000011,996.0,19.0,16.0,0.0,1.0,267.8208814,0.04676481,1.21,0.96
1000012,2704.0,472.0,7.0,0.0,2.0,145.774847,0.03494386,0.54,1.23
1000013,301.0,2312.0,8.0,0.0,1.0,418.979322,0.07700384,1.22,0.99
1000014,503.0,96.0,3.0,0.0,1.0,71.458525,0.01281501,1.62,1.07
1000015,1722.0,1960.0,6.0,0.0,1.0,403.2189194,0.10039857,1.05,1.04
1000016,761.0,473.0,14.0,0.0,6.0,873.9789429,0.21557939,0.96,1.14
1000019,3807.0,599.0,12.0,0.0,2.0,101.2500685,0.02618752,1.29,0.89
1000020,2486.0,153.0,12.0,0.0,2.0,46.97037212,0.01144241,1.19,1.17
1000021,952.0,1426.0,13.0,0.0,3.0,134.0198041,0.03002121,0.88,1.3
1000022,917.0,58.0,6.0,0.0,0.0,0.4191445,5.4e-06,1.31,1.1
1000023,1452.0,7.0,2.0,0.0,0.0,6.62113375,0.001011,1.25,1.48
1000024,2530.0,255.0,3.0,0.0,0.0,19.550736,0.00567354,1.32,1.4
1000026,1681.0,162.0,15.0,0.0,9.0,206.7204193,0.02806743,0.89,1.35
1000027,729.0,5.0,11.0,0.0,1.0,350.2104805,0.06588902,0.75,1.03
1000028,3197.0,1838.0,22.0,0.0,2.0,223.585709,0.04740903,1.22,1.19
1000029,832.0,210.0,1.0,0.0,0.0,2.48648675,0.00047698,1.26,1.28
1000030,3873.0,412.0,5.0,0.0,0.0,60.26171138,0.01254461,1.1,1.17
1000031,2302.0,65.0,3.0,0.0,0.0,102.2090463,0.02335502,1.02,0.92
1000032,1495.0,1495.0,15.0,0.0,1.0,220.1031468,0.04748071,1.06,1.06
1000033,929.0,1185.0,12.0,0.0,1.0,40.97958917,0.01066928,1.17,0.96
1000034,2085.0,1473.0,7.0,0.0,0.0,109.4303386,0.02570471,0.93,0.98
1000036,2040.0,4211.0,3.0,0.0,1.0,115.187704,0.02628781,1.07,0.81
1000039,72.0,36555.0,30.0,0.0,3.0,815.6865755,0.16190352,1.69,1.18
1000040,110.0,1005.0,15.0,0.0,0.0,381.4023903,0.05584972,1.6,1.07
1000041,1567.0,4059.0,8.0,0.0,0.0,38.38082338,0.00911164,1.02,1.14
1000042,1873.0,1675.0,11.0,0.0,1.0,235.5101082,0.05960423,1.18,1.18
1000043,2074.0,211.0,1.0,0.0,0.0,9.16308925,0.00266685,1.08,0.95
1000044,943.0,953.0,9.0,0.0,0.0,225.5197263,0.03663062,1.27,1.27
1000045,787.0,2880.0,27.0,0.0,2.0,985.67852,0.20780792,1.0,1.0
1000046,687.0,1934.0,16.0,0.0,4.0,101.2926975,0.02583258,1.34,1.06
1000047,1228.0,1022.0,18.0,0.0,1.0,94.64324683,0.01616587,1.35,1.07
1000048,1547.0,2379.0,18.0,0.0,2.0,56.34056412,0.01409973,1.15,1.34
1000049,3550.0,570.0,10.0,0.0,3.0,46.7916076,0.01295688,0.99,0.97
1000050,438.0,301.0,1.0,0.0,0.0,20.9097205,0.00629868,1.19,0.88
1000051,986.0,2092.0,8.0,0.0,4.0,396.0399715,0.09675093,0.92,1.08
1000052,612.0,315.0,2.0,0.0,0.0,563.8544369,0.14276798,1.17,1.18
1000053,771.0,55.0,4.0,0.0,0.0,743.6949358,0.19843758,0.82,1.12
1000054,863.0,59.0,15.0,0.0,3.0,929.6132791,0.25720036,0.76,0.91
1000055,1437.0,322.0,7.0,0.0,2.0,86.32483262,0.01721701,1.02,0.85
1000056,3339.0,2649.0,11.0,0.0,2.0,112.2021896,0.028659,1.15,1.17
1000057,3958.0,1059.0,9.0,0.0,2.0,216.7868273,0.05853522,0.95,1.16
1000058,3949.0,314.0,5.0,0.0,3.0,147.2337037,0.03207874,0.65,0.92
1000060,2408.0,128.0,2.0,0.0,2.0,60.4821585,0.01429496,0.77,1.03
1000061,2869.0,187.0,16.0,0.0,3.0,354.2170958,0.06910923,1.07,1.14
1000062,2873.0,60.0,8.0,0.0,4.0,45.07480258,0.01185841,0.93,1.09
1000063,1369.0,1674.0,12.0,0.0,3.0,720.8789004,0.1814232,0.95,0.91
1000064,2464.0,175.0,11.0,0.0,3.0,136.2263431,0.03895942,0.91,1.18
1000065,2039.0,956.0,6.0,0.0,3.0,116.5968371,0.02255587,1.02,1.22
1000066,1491.0,2407.0,1.0,0.0,0.0,72.91992333,0.01773306,1.16,1.03
1000067,2177.0,723.0,11.0,0.0,2.0,83.84044225,0.01581132,1.27,1.02
1000068,937.0,935.0,7.0,0.0,2.0,249.7280958,0.04655693,1.11,1.17
1000069,2042.0,224.0,9.0,0.0,1.0,87.00419475,0.01873838,1.31,1.45
1000070,695.0,555.0,14.0,0.0,1.0,2521.777657,0.6831725,1.1,1.21
1000071,2424.0,2204.0,7.0,0.0,1.0,1787.433831,0.46501005,0.67,0.97
1000072,2884.0,72.0,10.0,0.0,1.0,6.48745225,0.00136561,0.95,0.97
1000073,1650.0,819.0,19.0,0.0,5.0,1366.492771,0.35691925,0.96,0.91
1000074,3109.0,121.0,3.0,0.0,0.0,27.87591925,0.00742276,0.94,1.12
