neighbor_code,분기당_매출_금액,2340대_매출금액
1000001,264.8742745,0.0585795
1000002,163.9281728,0.03725954
1000003,255.1289975,0.05263907
1000004,90.97194527,0.02055997
1000005,446.3097831,0.09138343
1000006,22.50987675,0.00457511
1000007,1117.317075,0.29201317
1000008,428.8157459,0.10540027
1000009,540.2744336,0.10694611
1000010,85.90604312,0.02330149
1000011,219.1023863,0.04081079
1000012,308.6167703,0.07801538
1000013,117.5263545,0.0246359
1000014,85.09825725,0.0177291
1000015,218.1550096,0.05237593
1000016,355.6063715,0.08668489
1000017,72.91111125,0.01235778
1000018,38.90581233,0.0085492
1000019,198.4880285,0.05198354
1000021,70.28668938,0.01355131
1000023,2.99514025,0.0005341
1000026,123.7717809,0.01906397
1000027,188.8141028,0.04705294
1000028,201.2620463,0.04251782
1000030,66.51805625,0.01437398
1000031,15.7610135,0.00293233
1000032,245.3917663,0.05162121
1000033,38.17973467,0.00966054
1000034,120.6357728,0.03037711
1000036,18.2617025,0.00496099
1000038,93.23255392,0.01704731
1000039,288.1451969,0.058167
1000040,478.0995449,0.06629253
1000041,42.83265186,0.00787601
1000042,112.5003704,0.02447213
1000043,0.17786425,0.0000463
1000044,91.36077933,0.02297905
1000045,526.5425543,0.1298556
1000046,24.30813467,0.00577335
1000047,111.4233523,0.02287486
1000048,52.30231933,0.01257653
1000049,59.0400595,0.01591019
1000050,24.71221525,0.00402771
1000051,308.552504,0.05920545
1000052,482.1332825,0.12508159
1000053,358.4478483,0.09392764
1000054,140.7852311,0.03675658
1000055,65.224248,0.01425423
1000056,32.5663485,0.0088974
1000057,233.5335789,0.0613352
1000058,45.91919954,0.00984619
1000060,74.77600107,0.01685788
1000061,272.2074619,0.05252654
1000062,41.18914088,0.01206096
1000063,383.8265354,0.09696906
1000064,112.3126166,0.03119447
1000065,73.77232488,0.01163874
1000067,118.5380755,0.02255388
1000068,132.2033329,0.02616813
1000069,62.17553625,0.01188904
1000070,1033.034381,0.26703827
1000071,2022.16842,0.52275764
1000072,9.11086358,0.00108904
1000073,1160.116,0.30088032
1000075,15.895782,0.00217911
1000076,1.778486,0.00040773
1000077,272.4567059,0.06248173
1000078,81.73444275,0.01530788
1000079,178.6885897,0.03708633
1000080,170.7161543,0.03935239
1000081,212.0468314,0.05133809
1000082,190.3882544,0.03032107
1000083,100.7357973,0.02812758
1000084,565.3735024,0.11565331
1000085,393.7607807,0.1066933
1000086,40.93070388,0.00954233
1000087,28.3044081,0.00687276
1000088,241.6623617,0.051018
1000089,2.90145675,0.00035136
1000090,127.8588603,0.022696
1000091,97.83678425,0.02251351
1000092,250.1750283,0.06847793
1000094,18,0.00409579
1000096,101.7049988,0.02751881
1000097,64.24798338,0.01450193
1000098,141.9080894,0.03050262
1000099,86.75128325,0.01759648
1000100,19.61527375,0.00351873
1000101,28.889068,0.00717928
1000102,119.5333709,0.02856997
1000103,86.3727205,0.02134904
1000104,220.5538253,0.04829644
1000105,191.0620768,0.05160468
1000106,72.1415285,0.01749242
1000107,12.20396757,0.00209494
1000108,119.5904598,0.03084212
1000109,128.2511573,0.0346659
1000110,244.601566,0.05376034
1000111,38.686506,0.00863307
1000112,115.5842973,0.01674579
1000113,423.1802111,0.10290212
1000114,403.0131605,0.11057734
1000115,199.8881428,0.05132766
1000116,976.0250061,0.25410702
1000117,127.208028,0.02352904
1000118,70.99484614,0.01098418
1000119,216.6694255,0.04914438
1000120,309.8588766,0.07205745
1000121,344.756102,0.06760382
1000122,8.44187475,0.00173718
1000123,72.42086625,0.01437261
1000124,125.1961565,0.02273509
1000125,137.9500859,0.0311582
1000126,58.64376142,0.01164251
1000127,62.88239525,0.01701456
1000128,179.6851511,0.04773797
1000129,47.0145175,0.00931379
1000130,5.36,0.00125512
1000131,131.3360728,0.0364592
1000132,7.03834925,0.00099724
1000133,65.43616575,0.01407407
1000134,28.28072075,0.00524941
1000136,37.84860512,0.00881364
1000137,153.7884798,0.04408793
1000138,144.0107059,0.0407566
1000139,41.46481625,0.00878164
1000140,4.60650825,0.00117048
1000141,36.39508842,0.00840155
1000142,26.34537875,0.00562104
1000143,32.085473,0.0093977
1000146,174.1715358,0.04197885
1000147,41.198822,0.00926952
1000148,111.4774344,0.01843531
1000149,51.3162565,0.0128433
1000150,28.726772,0.00514536
1000151,28.42510125,0.00778899
1000152,141.063693,0.02880727
1000153,65.32982692,0.01754234
1000154,181.2205061,0.02985291
1000155,557.716823,0.1001945
1000156,222.4967066,0.05372964
1000157,21.4140675,0.00586014
1000158,123.0216738,0.02668091
1000160,22.5017875,0.00592118
1000161,307.8857277,0.08010543
1000162,167.5402623,0.03714214
1000163,20.52144262,0.00331019
1000164,23.17981888,0.00424313
1000165,258.4321348,0.0580978
1000166,120.4521237,0.02439642
1000167,282.494056,0.0668842
1000168,265.7347125,0.05667318
1000169,159.0446949,0.03304797
1000170,29.856453,0.00289686
1000171,183.9559523,0.03709773
1000172,28.1520185,0.00610691
1000175,53.654709,0.01067934
1000176,111.144129,0.02633765
1000177,255.5175839,0.05783459
1000178,34.20494,0.00899924
1000179,43.55454925,0.01199837
1000180,276.3319062,0.07167891
1000181,307.733595,0.07803177
1000182,88.1227475,0.02201899
1000184,130.7665744,0.02573385
1000185,230.2802551,0.05547628
1000188,91.3345135,0.02287881
1000189,216.0957958,0.05564956
1000190,15.76804225,0.00327756
1000193,42.4352987,0.00522012
1000194,120.5955443,0.02877697
1000195,23.42529469,0.00410552
1000196,86.620379,0.02226771
1000197,32.5584665,0.00435557
1000198,86.86808183,0.02191099
1000199,196.7359628,0.03845232
1000200,93.34829758,0.01942622
1000201,84.22290312,0.01954536
1000202,10.55526575,0.00235044
1000203,2.085011,0.00035229
1000204,108.084235,0.02422429
1000205,13.62262775,0.00279255
1000206,3.1761755,0.00074202
1000207,179.7796347,0.04433862
1000208,122.1151573,0.029457
1000210,195.0066694,0.0490315
1000214,63.66252225,0.01440931
1000215,148.0417608,0.03056964
1000216,18.4145835,0.00242922
1000217,194.8017744,0.04275913
1000218,22.2436355,0.00603454
1000219,0.4641185,0.00015471
1000220,482.5306838,0.1269504
1000221,197.0009676,0.05141746
1000222,50.38943267,0.01078568
1000223,8.81960375,0.00241441
1000224,19.9771776,0.00553154
1000225,2.54186125,0.00060295
1000226,260.8727814,0.05550653
1000227,8.151597,0.00230859
1000228,1.6750945,0.00002857
1000229,75.30812162,0.01522741
1000230,174.9976915,0.0370835
1000231,284.4097621,0.06027087
1000232,5.260171,0.00136323
1000233,105.5026078,0.02434587
1000235,67.92205075,0.01493756
1000236,14.16352775,0.00272682
1000237,21.0930755,0.00354364
1000238,17.8173155,0.0045665
1000239,68.6627125,0.01761599
1000242,65.69004325,0.01739008
1000243,234.4436664,0.05744596
1000244,20.65353162,0.00551293
1000245,88.40670138,0.0168824
1000247,76.01125442,0.01671063
1000249,282.4490536,0.06431109
1000252,272.4376768,0.06260224
1000253,26.154026,0.00623549
1000254,538.8042285,0.12337022
1000255,18.05438025,0.00334677
1000256,268.1576805,0.05442512
1000257,92.19699575,0.0197154
1000258,172.978443,0.03467809
1000259,88.100332,0.02402054
1000260,50.87340712,0.01135485
1000263,57.934278,0.01499547
1000264,40.3650705,0.00822256
1000268,83.260628,0.02023167
1000269,618.9884135,0.16172455
1000270,25.62556622,0.00672292
1000271,11.989524,0.00222973
1000272,223.1108433,0.05702243
1000273,67.92106488,0.01626078
1000274,10.469761,0.0021652
1000275,4.88822775,0.00134225
1000276,16.84234025,0.0043054
1000277,270.2330467,0.07481088
1000278,90.10522892,0.01981311
1000279,15.770286,0.00400904
1000281,50.8805385,0.0127141
1000282,271.7418099,0.04459191
1000284,77.543074,0.01861727
1000285,149.3232028,0.03903004
1000286,245.2461371,0.06465349
1000287,12.41803612,0.00247145
1000288,209.0932209,0.0506631
1000289,92.13319525,0.01737692
1000290,112.3920788,0.02454832
1000291,383.3336017,0.09497458
1000292,389.0954966,0.0963591
1000293,238.946444,0.0591962
1000295,73.4920715,0.01693375
1000297,86.31918212,0.01678215
1000298,80.81522988,0.01276799
1000299,66.16991117,0.01381668
1000300,350.011932,0.06962633
1000301,26.95172838,0.0057756
1000302,41.14461362,0.00952604
1000304,257.2433061,0.06651454
1000305,129.7943751,0.02907252
1000306,200.5512358,0.0407715
1000308,100.7172521,0.02394487
1000309,132.9161083,0.03361858
1000310,198.0502678,0.05026902
1000311,21.10240825,0.00360505
1000312,8.93647125,0.002651
1000313,43.976374,0.01240027
1000314,119.7046971,0.03117505
1000315,7.65782338,0.00091497
1000316,31.8913405,0.00610639
1000318,56.93881525,0.01220381
1000319,42.147583,0.01009215
1000322,87.41545942,0.01875814
1000323,94.11709283,0.02280853
1000324,56.28400575,0.0136586
1000325,33.27144775,0.00548794
1000326,34.9886015,0.00591629
1000327,8.12002212,0.00241851
1000328,18.71257675,0.00502352
1000330,145.1783894,0.03483374
1000331,100.9159964,0.02497414
1000334,7.12426275,0.00178214
1000335,0.774354,0.00014155
1000336,84.06616462,0.01733085
1000337,303.902322,0.06003264
1000338,50.61253675,0.01082822
1000339,5.335657,0.00139054
1000340,67.78353362,0.01509393
1000342,1065.559543,0.22422228
1000343,15.3770045,0.00218527
1000345,22.41182912,0.00428894
1000346,211.6927697,0.04877071
1000348,16.6106215,0.00468978
1000349,27.87997225,0.0054082
1000350,49.301611,0.01350828
1000351,23.854839,0.00706824
1000352,274.2829311,0.06111144
1000353,125.646641,0.02834859
1000354,8.66900075,0.00184222
1000355,23.81007175,0.00025516
1000356,95.91034725,0.01980318
1000357,15.68619925,0.00350486
1000358,39.69214675,0.00707779
1000359,71.25148,0.01091543
1000360,859.1069342,0.20897283
1000361,33.0862715,0.0071441
1000362,20.1175425,0.00460885
1000363,48.17653775,0.00929301
1000364,7.87955738,0.00127034
1000365,83.6218665,0.02113088
1000366,107.9680427,0.0205919
1000367,130.9345573,0.01358957
1000368,266.5953365,0.03545322
1000369,26.00345167,0.00517697
1000370,41.36481125,0.0079377
1000371,12.50478062,0.00319558
1000372,4.157403,0.00074088
1000373,103.4486621,0.02370238
1000374,51.7736,0.01072557
