neighbor_code,분기당_매출_금액,2340대_매출금액
1000001,278.1139655,0.06373244
1000002,132.198632,0.02966663
1000003,300.4106436,0.05202319
1000004,164.5890019,0.04035587
1000005,523.7566973,0.09782536
1000006,611.0177116,0.11930225
1000007,1000.895145,0.23241956
1000008,912.65683,0.20669049
1000009,630.6143021,0.12287113
1000010,109.5436718,0.03022661
1000011,274.1849974,0.04553735
1000012,163.4716725,0.03753231
1000013,479.9127138,0.09281299
1000014,80.27995275,0.01452872
1000015,486.1840843,0.11281146
1000016,789.5516721,0.18317817
1000017,95.62923875,0.01441754
1000018,55.14659075,0.01256535
1000019,99.198946,0.02699027
1000020,41.48595214,0.01016422
1000021,98.88152138,0.01885028
1000022,0.78042733,0.00009394
1000023,11.29392,0.00099064
1000024,15.6789925,0.00417181
1000026,174.4363563,0.02533153
1000027,357.4473082,0.06964745
1000028,231.6898349,0.04668782
1000029,6.10986575,0.00159172
1000030,61.467986,0.01230387
1000031,77.55580075,0.01640508
1000032,279.9240126,0.05820486
1000033,36.86727773,0.0095003
1000034,112.622539,0.02552384
1000036,72.6523225,0.01678823
1000038,181.0880942,0.03800907
1000039,738.4330429,0.14112546
1000040,421.2975443,0.06690527
1000041,37.76213843,0.00865228
1000042,213.3905152,0.05173274
1000043,7.1011395,0.00197755
1000044,233.4750598,0.03793801
1000045,1024.555271,0.20616966
1000046,120.0383891,0.03032331
1000047,84.41709058,0.01440083
1000048,25.3307685,0.00675227
1000049,45.78594957,0.01180618
1000050,29.50693775,0.00827027
1000051,375.6134061,0.09193986
1000052,788.6827852,0.19742637
1000053,723.8754382,0.19088548
1000054,789.3203984,0.21583149
1000055,101.2135714,0.0185526
1000056,129.8908398,0.03368974
1000057,220.6180028,0.05508288
1000058,126.5008581,0.02598599
1000060,66.39718658,0.01510912
1000061,332.9379117,0.06942565
1000062,67.84341844,0.01768706
1000063,670.7626304,0.1662723
1000064,111.2378679,0.03153888
1000065,130.4715885,0.0234773
1000066,108.2800565,0.02739853
1000067,86.74521992,0.01663524
1000068,355.7355625,0.07276317
1000069,65.72262125,0.01376855
1000070,2284.900885,0.62728363
1000071,2413.88005,0.62919627
1000072,7.08935183,0.00136173
1000073,1292.988114,0.33775344
1000074,19.08518425,0.00512571
1000075,33.7160005,0.00513608
1000076,20.16525714,0.00388271
1000077,290.7618066,0.05108383
1000078,173.4084601,0.03447833
1000079,225.9249228,0.04275704
1000080,444.2714559,0.07979796
1000081,164.5100417,0.0350882
1000082,75.53245025,0.01178576
1000083,82.07277267,0.02174185
1000084,1101.93449,0.22174526
1000085,636.8101663,0.15720376
1000086,121.1448416,0.02719078
1000087,31.67574915,0.00693801
1000088,422.4504802,0.08717611
1000089,8.384939,0.00133803
1000090,95.19215362,0.02049578
1000091,88.917794,0.02020701
1000092,260.7379801,0.06571112
1000093,103.5182263,0.01885414
1000094,21.28202575,0.00497097
1000095,133.1443283,0.02552394
1000096,147.8457205,0.0410063
1000097,75.4456445,0.01729981
1000098,130.1785765,0.02281619
1000099,67.0038175,0.0136603
1000100,33.4669355,0.00884448
1000101,28.165804,0.00715158
1000102,91.65512242,0.02205006
1000103,54.06167808,0.01212253
1000104,241.8522659,0.05133408
1000105,152.9526029,0.03450036
1000106,99.08151975,0.02135507
1000107,10.70973175,0.00248852
1000108,146.0871991,0.03456268
1000109,303.2563359,0.0689244
1000110,316.1510186,0.05265082
1000111,26.812871,0.00747094
1000112,140.3245205,0.02274518
1000113,382.953328,0.08901052
1000114,447.3652374,0.10263465
1000115,173.6131323,0.03247652
1000116,374.1874087,0.0788439
1000117,81.12278982,0.01514361
1000118,94.81159706,0.01149141
1000119,160.7755394,0.03375213
1000120,343.172331,0.07170233
1000121,418.0578813,0.0802825
1000122,28.81772,0.00577113
1000123,99.25016793,0.02245167
1000124,116.4877274,0.02159401
1000125,188.6376304,0.02840129
1000126,49.07872692,0.00806483
