neighbor_code,분기당_매출_금액,2340대_매출금액
1000220,432.0465609,0.11164381
1000221,235.1258345,0.05758222
1000222,26.726252,0.00580736
1000223,11.18915475,0.00299794
1000224,23.0677855,0.00582816
1000225,3.03341725,0.00060331
1000226,284.3386372,0.06145071
1000227,12.05048625,0.00338055
1000228,3.2537805,0.00000223
1000229,47.11327325,0.00977661
1000230,119.8826368,0.03075629
1000231,290.6834766,0.06253202
1000232,30.50412443,0.0068802
1000233,112.3181329,0.02286908
1000235,65.72589357,0.01362549
1000236,20.3700915,0.00365918
1000237,13.79888533,0.00300583
1000238,17.0220485,0.00433033
1000239,37.8160312,0.0096452
1000242,71.70284625,0.01907034
1000243,136.6409418,0.03336751
1000244,20.54077388,0.0053519
1000245,128.3114334,0.02687277
1000247,79.38856317,0.01834852
1000249,266.5094676,0.06073431
1000252,281.6868458,0.06647356
1000253,22.81325975,0.00492659
1000254,453.0751558,0.10714781
1000255,15.89719425,0.00380526
1000256,236.0541793,0.04904083
1000257,105.404912,0.02312371
1000258,185.2339338,0.03904489
1000259,85.59392575,0.02178118
1000260,36.37293138,0.00789159
1000261,5.720974,0.0001082
1000263,80.864075,0.021988
1000264,36.80653138,0.00839198
1000265,0.65217367,0.00011648
1000268,103.0900093,0.02469068
1000269,229.1307316,0.05085832
1000270,31.21048417,0.0084913
1000271,13.129308,0.00267781
1000272,206.425956,0.05408624
1000273,71.58845575,0.018254
1000274,6.8660335,0.001958
1000275,0,0
1000276,28.4350595,0.00660778
1000277,376.3607324,0.10358486
1000278,89.47017514,0.02053048
1000279,104.853494,0.02839911
1000280,23.23143467,0.00722806
1000281,35.42178662,0.0088523
1000282,156.1539611,0.02419971
1000284,82.55892467,0.02053268
1000285,105.8368353,0.02637809
1000286,386.0458684,0.10290964
1000287,16.656757,0.00344797
1000288,270.1975918,0.06530634
1000289,52.323251,0.01102316
1000290,129.1275239,0.02882456
1000291,296.4967593,0.07309115
1000292,520.466057,0.12253974
1000293,67.79383514,0.01691289
1000295,77.40856175,0.01782347
1000297,97.29024725,0.02095852
1000298,144.561679,0.02305469
1000299,74.10767375,0.0165317
1000300,365.8466351,0.07292371
1000301,50.33206038,0.012519
1000302,72.504223,0.01885555
1000304,222.5628964,0.05514353
1000305,102.2813604,0.02246682
1000306,204.3382741,0.03974846
1000308,93.66892562,0.02241068
1000309,207.3609441,0.05189103
1000310,82.52931814,0.02050848
1000311,22.3532595,0.00421322
1000312,9.63778,0.00299476
1000313,45.32730825,0.01249708
1000314,173.2127646,0.04524654
1000315,9.34006562,0.00118674
1000316,33.0169675,0.00659077
1000318,67.02444025,0.01503688
1000319,21.958585,0.00563238
1000322,110.4179881,0.02124517
1000323,68.58278625,0.01577837
1000324,81.16306438,0.02001729
1000325,14.51979517,0.00288683
1000326,30.55298683,0.00518602
1000327,9.120501,0.00232556
1000328,19.16035925,0.00536516
1000330,111.4997871,0.02767131
1000331,58.3980066,0.01479077
1000334,9.26059325,0.00257878
1000335,1.64487925,0.00029068
1000336,95.92886875,0.02013544
1000337,321.2035492,0.06690924
1000338,38.54469675,0.00935624
1000339,7.45548733,0.00186678
1000340,58.95966,0.012853
1000342,1125.377594,0.22663579
1000343,21.21845633,0.00540871
1000345,22.59889088,0.00491905
1000346,213.6061876,0.04718846
1000347,1.37178733,0.0002302
1000348,26.57592725,0.00779027
1000349,90.63512192,0.01818466
1000351,0,0
1000352,287.7366304,0.06537824
1000353,59.83190612,0.01266553
