neighbor_code,분기당_매출_금액,2340대_매출금액
1000001,396.8722083,0.08955472
1000002,142.3495855,0.03023841
1000003,229.4300843,0.04696136
1000004,106.2175014,0.02214581
1000005,401.7199535,0.0787405
1000006,25.676019,0.00591615
1000007,1241.426957,0.30890601
1000008,404.5606536,0.09799484
1000009,520.8816772,0.10457293
1000010,137.0095333,0.03785947
1000011,244.8110425,0.04842095
1000012,383.1388631,0.1001392
1000013,289.9216775,0.06402454
1000014,45.101816,0.00794598
1000015,209.3189713,0.04633551
1000016,703.3891298,0.17509389
1000017,79.8306285,0.01097197
1000018,39.06271162,0.00808156
1000019,256.7037313,0.06622102
1000021,100.2213737,0.01804869
1000023,3.6456345,0.00075214
1000026,109.3222956,0.01505965
1000027,357.4349386,0.10278035
1000028,183.8397836,0.03671104
1000030,61.673846,0.01242737
1000031,18.70264975,0.00161827
1000032,240.3478866,0.04727551
1000033,45.94931625,0.01218084
1000034,126.8350656,0.03041015
1000035,4,0.0011935
1000036,18.17501075,0.00505725
1000038,106.3823699,0.01838944
1000039,230.5921763,0.05134669
1000040,485.4928752,0.06715672
1000041,27.67865362,0.00496874
1000042,103.3454925,0.02235054
1000043,0.09316675,0.00002936
1000044,94.477797,0.02366235
1000045,548.6053076,0.13427022
1000046,24.63146492,0.00603434
1000047,106.9769718,0.02340258
1000048,72.61051475,0.01694255
1000049,54.0410835,0.01513914
1000050,22.20595775,0.00509863
1000051,451.1286925,0.07897556
1000052,624.3399098,0.16566054
1000053,512.6227124,0.13264033
1000054,170.6416905,0.03863008
1000055,55.55106275,0.01229687
1000056,119.9339993,0.02758128
1000057,231.6638176,0.05875508
1000058,42.20096842,0.00949123
1000060,73.111785,0.01704663
1000061,188.8659952,0.04411251
1000062,52.43915456,0.01441028
1000063,214.2308593,0.052555
1000064,125.2697386,0.03276469
1000065,71.1610215,0.01151199
1000067,110.2662319,0.01926672
1000068,206.7888394,0.04589932
1000069,62.3733965,0.009618
1000070,1204.427868,0.29006131
1000071,2190.484488,0.56830368
1000072,5.52818,0.0008325
1000073,1008.255445,0.25692274
1000075,9.55041525,0.00065915
1000076,0,0
1000077,279.2159178,0.05735315
1000078,69.57502962,0.01151436
1000079,166.3156708,0.03272701
1000080,195.1118634,0.05091095
1000081,403.750676,0.10613921
1000082,384.5046742,0.06407709
1000083,118.0577128,0.03302873
1000084,674.4791856,0.13851972
1000085,472.2916105,0.13024398
1000086,32.52962975,0.00708468
1000087,30.33395017,0.00723331
