neighbor_code,분기당_매출_금액,2340대_매출금액
1000001,299.0285333,0.07119084
1000002,128.0334578,0.02955557
1000003,264.9836564,0.04346502
1000004,168.833421,0.03903469
1000005,419.1801389,0.08828448
1000006,627.8197585,0.13510002
1000007,1105.832507,0.26827766
1000008,762.1384643,0.19113097
1000009,641.0520376,0.13189586
1000010,92.09033907,0.02633459
1000011,267.8208814,0.04676481
1000012,145.774847,0.03494386
1000013,418.979322,0.07700384
1000014,71.458525,0.01281501
1000015,403.2189194,0.10039857
1000016,873.9789429,0.21557939
1000017,51.6850186,0.00611961
1000018,50.96824775,0.011723
1000019,101.2500685,0.02618752
1000020,46.97037212,0.01144241
1000021,134.0198041,0.03002121
1000022,0.4191445,0.0000054
1000023,6.62113375,0.001011
1000024,19.550736,0.00567354
1000026,206.7204193,0.02806743
1000027,350.2104805,0.06588902
1000028,223.585709,0.04740903
1000029,2.48648675,0.00047698
1000030,60.26171138,0.01254461
1000031,102.2090463,0.02335502
1000032,220.1031468,0.04748071
1000033,40.97958917,0.01066928
1000034,109.4303386,0.02570471
1000036,115.187704,0.02628781
1000038,218.5943599,0.0466504
1000039,815.6865755,0.16190352
1000040,381.4023903,0.05584972
1000041,38.38082338,0.00911164
1000042,235.5101082,0.05960423
1000043,9.16308925,0.00266685
1000044,225.5197263,0.03663062
1000045,985.67852,0.20780792
1000046,101.2926975,0.02583258
1000047,94.64324683,0.01616587
1000048,56.34056412,0.01409973
1000049,46.7916076,0.01295688
1000050,20.9097205,0.00629868
1000051,396.0399715,0.09675093
1000052,563.8544369,0.14276798
1000053,743.6949358,0.19843758
1000054,929.6132791,0.25720036
1000055,86.32483262,0.01721701
1000056,112.2021896,0.028659
1000057,216.7868273,0.05853522
1000058,147.2337037,0.03207874
1000060,60.4821585,0.01429496
1000061,354.2170958,0.06910923
1000062,45.07480258,0.01185841
1000063,720.8789004,0.1814232
1000064,136.2263431,0.03895942
1000065,116.5968371,0.02255587
1000066,72.91992333,0.01773306
1000067,83.84044225,0.01581132
1000068,249.7280958,0.04655693
1000069,87.00419475,0.01873838
1000070,2521.777657,0.6831725
1000071,1787.433831,0.46501005
1000072,6.48745225,0.00136561
1000073,1366.492771,0.35691925
1000074,27.87591925,0.00742276
1000075,14.785174,0.00198197
1000076,26.16876229,0.00611444
1000077,304.2094073,0.05358766
1000078,164.3810424,0.03211866
1000079,244.2232276,0.04800129
1000080,416.6016193,0.07793525
1000081,143.9235304,0.03111722
1000082,91.31426609,0.01362413
1000083,103.4673624,0.02391372
1000084,1068.114449,0.21197342
1000085,833.6027406,0.21121972
1000086,110.5782793,0.02659976
1000087,37.738896,0.00972684
1000088,423.4608238,0.09037381
1000089,6.95173425,0.0013033
1000090,96.73728912,0.02182962
1000091,68.177173,0.01521754
1000092,199.3603533,0.05033105
1000093,118.9286568,0.02367236
1000094,34.129978,0.00825759
1000095,120.8048293,0.0220088
1000096,118.5113206,0.03307859
1000097,79.86619125,0.01904835
1000098,116.8489098,0.02043618
1000099,63.483539,0.01286297
1000100,22.72578838,0.00549596
1000101,22.06523343,0.00544345
1000102,117.9232333,0.02969187
1000103,61.33661518,0.01374244
1000104,265.1735708,0.05886228
1000105,145.3326281,0.03320076
1000106,71.82889683,0.01728732
1000107,4.28449983,0.00084156
1000108,133.4238288,0.03422441
1000109,237.25184,0.05852846
1000110,312.5490846,0.05418286
1000111,24.01562062,0.00672402
1000112,113.0374585,0.01997923
1000113,315.5543631,0.07555181
1000114,471.441604,0.1076191
1000115,188.1647996,0.04090969
1000116,398.9151238,0.08824939
1000117,80.090093,0.01553623
1000118,90.23825775,0.01653591
1000119,137.8217794,0.02999459
1000120,353.5347161,0.07787158
1000121,414.4204308,0.08318677
1000122,21.8568535,0.00368195
1000123,83.79185969,0.01969048
1000124,108.8232969,0.02208902
1000125,158.094983,0.03243426
1000126,46.19960258,0.00796308
1000127,81.16377358,0.02147484
1000128,394.3441998,0.10585653
1000129,58.17362583,0.01092997
1000130,71.4694745,0.0158738
1000131,79.3856322,0.02167176
1000132,25.294922,0.00540871
1000133,66.67611183,0.01516826
1000134,77.13636658,0.01680794
1000136,70.7131385,0.01865178
1000137,301.5672124,0.0833018
1000138,161.0481717,0.0455752
1000139,36.16622612,0.00818922
1000140,23.75883557,0.0043896
1000141,66.37593933,0.01604669
1000142,28.38120283,0.00596442
1000143,30.00801325,0.00870104
1000144,31.13312225,0.00891512
1000146,97.91618011,0.02493371
1000147,58.23798675,0.01352698
1000148,167.0480211,0.02627072
1000149,44.56144262,0.01169255
1000150,18.27438475,0.00490249
1000151,30.2604665,0.00834392
1000152,62.68956,0.01281399
1000153,92.37188967,0.02185205
1000154,240.2731433,0.04598428
1000155,350.9443458,0.04846384
1000156,173.7333658,0.0382546
1000157,11.60347575,0.00344048
1000158,145.598058,0.0359863
1000159,19.817051,0.00438862
1000160,27.87843262,0.00682308
1000161,285.6733322,0.07483215
1000162,157.1058621,0.03651909
1000163,43.35366312,0.01084762
1000164,65.21811112,0.00962235
1000165,278.2975534,0.05956703
1000166,141.5449043,0.03065912
1000167,304.5505288,0.07383686
1000168,213.2046784,0.04951791
1000169,263.1685012,0.06144083
1000170,35.8370575,0.00634837
1000171,130.3567898,0.02949389
1000172,74.48327075,0.01647738
1000173,14.36570575,0.00350351
1000175,45.15012075,0.0102211
1000176,106.8818078,0.02356029
1000177,247.769773,0.05825421
1000178,113.7567433,0.03260376
1000179,42.47911171,0.01179956
1000180,148.9113568,0.03604074
1000181,272.8595341,0.0691946
1000182,86.13015875,0.02092244
1000183,2.73967775,0.00047814
1000184,95.72537375,0.02049704
1000185,96.89240062,0.02556144
1000186,10.12137025,0.00264145
1000188,80.30290125,0.0234394
1000189,129.3488943,0.03531331
1000190,28.11730425,0.00536239
1000191,1.708309,0.00005423
1000192,11.53230767,0.0017348
1000193,50.63513008,0.01038324
1000194,239.932086,0.0632357
1000195,31.87026188,0.00539381
1000196,94.3699855,0.02406618
1000197,37.1568955,0.00577486
1000198,81.19381592,0.02054478
1000199,96.9408795,0.0191483
1000200,89.50068617,0.02016049
1000201,91.82255262,0.01876833
1000202,19.12571062,0.00427049
1000203,9.90403,0.00252672
1000204,171.5501883,0.04304408
1000205,10.400863,0.00210773
1000206,3.48211475,0.00085547
1000207,262.6762182,0.06374506
1000208,239.7216235,0.06368126
1000209,220.5437048,0.01140018
1000210,185.7483933,0.0483352
1000212,38.40818525,0.01056496
1000214,67.536003,0.01285997
1000215,125.1790968,0.02850507
1000216,17.3760615,0.0041832
1000217,184.6482963,0.03740904
1000218,24.410255,0.00563983
1000219,7.05187475,0.00023028
1000220,580.0021688,0.15969233
1000221,202.8281358,0.05398485
1000222,65.06933825,0.01567701
1000223,9.8557568,0.00270308
1000224,20.17006962,0.00541618
1000225,4.90151525,0.0011955
1000226,356.4250535,0.07222689
1000227,11.70745475,0.00312183
1000228,5.39886575,0.00012854
1000229,94.68590293,0.02127252
1000230,103.4761445,0.02882494
1000231,258.7273898,0.06008945
1000232,40.52008612,0.00918403
1000233,93.431484,0.02079476
